feature,target_column,split_scope,n,pearson,abs_pearson,spearman,abs_spearman,kendall,abs_kendall
tsfresh__h__standard_deviation,piecewise_rul_norm,fit,7534,-0.6027186050644658,0.6027186050644658,-0.6477842540771666,0.6477842540771666,-0.5028160100497525,0.5028160100497525
tsfresh__h__variance,piecewise_rul_norm,fit,7534,-0.33043661367504423,0.33043661367504423,-0.6477842540771666,0.6477842540771666,-0.5028160100497525,0.5028160100497525
tsfresh__h__root_mean_square,piecewise_rul_norm,fit,7534,-0.6023973994598473,0.6023973994598473,-0.6472831085749663,0.6472831085749663,-0.5022027591382926,0.5022027591382926
tsfresh__h__maximum,piecewise_rul_norm,fit,7534,-0.5039591333949307,0.5039591333949307,-0.5715295943919126,0.5715295943919126,-0.42778220291064556,0.42778220291064556
tsfresh__h__absolute_maximum,piecewise_rul_norm,fit,7534,-0.4684255482671764,0.4684255482671764,-0.5133315772692564,0.5133315772692564,-0.3814273861017715,0.3814273861017715
tsfresh__h__minimum,piecewise_rul_norm,fit,7534,0.4561537721057334,0.4561537721057334,0.48755296892918687,0.48755296892918687,0.36009877561943265,0.36009877561943265
tsfresh__v__sum_values,piecewise_rul_norm,fit,7534,0.0073697950624988864,0.0073697950624988864,-0.010165378377784818,0.010165378377784818,-0.007365099848740539,0.007365099848740539
tsfresh__v__median,piecewise_rul_norm,fit,7534,0.002210605969202969,0.002210605969202969,-0.008274854394580793,0.008274854394580793,-0.005385176448105045,0.005385176448105045
tsfresh__v__mean,piecewise_rul_norm,fit,7534,0.007369795062498888,0.007369795062498888,-0.010165346597659436,0.010165346597659436,-0.007365063352110165,0.007365063352110165
tsfresh__v__length,piecewise_rul_norm,fit,7534,0.0,0.0,0.0,0.0,0.0,0.0
tsfresh__v__standard_deviation,piecewise_rul_norm,fit,7534,-0.3633516290138429,0.3633516290138429,-0.47146447777197853,0.47146447777197853,-0.33672448773896674,0.33672448773896674
tsfresh__v__variance,piecewise_rul_norm,fit,7534,-0.2598004152245961,0.2598004152245961,-0.47146447777197853,0.47146447777197853,-0.33672448773896674,0.33672448773896674
tsfresh__v__root_mean_square,piecewise_rul_norm,fit,7534,-0.3633785802809925,0.3633785802809925,-0.47090065053821384,0.47090065053821384,-0.336356446485682,0.336356446485682
tsfresh__v__maximum,piecewise_rul_norm,fit,7534,-0.11770762820268149,0.11770762820268149,-0.35688493164970153,0.35688493164970153,-0.2558473206073159,0.2558473206073159
tsfresh__v__absolute_maximum,piecewise_rul_norm,fit,7534,-0.11728398166312187,0.11728398166312187,-0.35670316420588266,0.35670316420588266,-0.25544760163356045,0.25544760163356045
tsfresh__v__minimum,piecewise_rul_norm,fit,7534,0.13022257408722188,0.13022257408722188,0.36309330329897654,0.36309330329897654,0.2603210237679659,0.2603210237679659
