task,feature,c1_rank,c1_score,c2_rank,c2_score,c3_rank,c3_score,mean_rank,mean_score,top10_count,label_source_count,decision
HealthState,mag__spectral__entropy,10,0.6073411110927515,15,0.3920009032796711,20,0.2197266115236096,15.0,0.4063562086320107,1,0,condition_specific
HealthState,v__spectral__entropy,1,0.8784360753532126,43,0.1670043967766612,24,0.1984567661654788,22.666666666666668,0.41463241276511753,1,0,condition_specific
HealthState,h__spectral__bandwidth,25,0.2355943755587961,14,0.4183555535928039,13,0.4670598815919945,17.333333333333332,0.3736699369145315,0,0,not_top10
HealthState,h__spectral__peak_frequency,21,0.3928067709831207,23,0.3164231099039454,16,0.3521891185448673,20.0,0.3538063331439778,0,0,not_top10
HealthState,h__spectral__rms_frequency,28,0.2030641571943298,16,0.3705655537649109,18,0.2307792730320858,20.666666666666668,0.26813632799710885,0,0,not_top10
HealthState,v__spectral__peak_frequency,22,0.360446500836373,27,0.2950642803849719,14,0.4347291744995991,21.0,0.36341331857364795,0,0,not_top10
HealthState,h__spectral__centroid,24,0.3052504449938616,17,0.3682846019640972,26,0.1889533220901073,22.333333333333332,0.28749612301602206,0,0,not_top10
HealthState,mag__spectral__centroid,16,0.5240970168511283,33,0.2426462014739214,21,0.2159473375184819,23.333333333333332,0.32756351861451055,0,0,not_top10
HealthState,h__spectral__entropy,18,0.4896750147767745,24,0.3090912604636112,32,0.1154055428939828,24.666666666666668,0.30472393937812287,0,0,not_top10
HealthState,v__time__kurtosis,26,0.2129813802475019,31,0.2717134542822723,17,0.304872585738475,24.666666666666668,0.2631891400894164,0,0,not_top10
HealthState,v__spectral__bandwidth,23,0.3371354655659034,32,0.2605890188298616,23,0.203689545506083,26.0,0.26713800996728265,0,0,not_top10
HealthState,mag__spectral__peak_frequency,27,0.2062334564430035,22,0.3287451860649238,31,0.1276247596263701,26.666666666666668,0.22086780071143244,0,0,not_top10
HealthState,mag__spectral__rms_frequency,20,0.4385006231399573,35,0.2350743236021809,25,0.1933119399896796,26.666666666666668,0.2889622955772726,0,0,not_top10
HealthState,v__spectral__rms_frequency,19,0.4480259846035814,34,0.2414157878895515,28,0.1702927024102371,27.0,0.2865781583011233,0,0,not_top10
