feature,rul_score,health_score,early_fault_score,fault_type_score,overall_score,rank_rul,rank_health,rank_early_fault,rank_fault_type,rank_overall,is_label_source,label_source_warning,recommended_for
mag__spectral__bandwidth,0.3112305153089367,0.17349628296496256,0.16650785830563644,0.0,0.16280866414488393,31,29,31,1,31,False,,
v__time__impulse_factor,0.3200234266341308,0.0979400885687409,0.21712074893302627,0.0,0.15877106603397448,28,36,29,1,32,False,,
v__time__clearance_factor,0.32484455115153466,0.07852761383477587,0.2110036770062277,0.0,0.15359396049813456,27,40,30,1,33,False,,
v__time__crest_factor,0.30915577828276686,0.07459848380871643,0.22553887868886102,0.0,0.1523232851950861,33,42,28,1,34,False,,
mag__time__kurtosis,0.22768031732453775,0.15274753072207556,0.09495893325526236,0.0,0.11884669532546893,35,30,39,1,35,False,,
h__time__clearance_factor,0.21892512522049157,0.10583927968706743,0.1309636845852828,0.0,0.11393202237321044,37,34,34,1,36,False,,
h__time__impulse_factor,0.21987261784228385,0.10376821964035862,0.12395641716753047,0.0,0.11189931366254324,36,35,35,1,37,False,,
h__time__crest_factor,0.2163216444753534,0.0950347073291547,0.11511221510223234,0.0,0.10661714172668511,38,38,37,1,38,False,,
h__time__kurtosis,0.21146147523154724,0.09593259126128707,0.10194651930343689,0.0,0.1023351464490678,39,37,38,1,39,False,,
mag__time__skewness,0.22882873837446707,0.13791396431707115,0.03531763487402514,0.0,0.10051508439139083,34,33,42,1,40,False,,
mag__time__clearance_factor,0.1751578980593752,0.08838421629757187,0.03439201185714215,0.0,0.0744835315535223,44,39,43,1,41,False,,
mag__time__crest_factor,0.18562821530480275,0.056136684639712484,0.04614601737530558,0.0,0.0719777293299552,41,43,41,1,42,False,,
mag__time__impulse_factor,0.1791199753784275,0.07616177247971112,0.030777792504119165,0.0,0.07151488509056445,42,41,44,1,43,False,,
h__time__mean,0.17617984845665624,0.0024107489435969505,0.0765485988125749,0.0,0.06378479905320703,43,44,40,1,44,False,,
v__time__mean,0.1392283851245138,0.0,0.0006676796979323935,0.0,0.034974016205611545,45,45,45,1,45,False,,
