feature,mutual_information,fisher_score,anova_f,anova_p,class_count,state_0_mean,state_0_std,state_1_mean,state_1_std,state_2_mean,state_2_std,state_3_mean,state_3_std
mag__time__crest_factor,0.05461314507444759,0.029975485157486652,70.2225698956054,9.676847728793771e-45,4,3.8742594227167535,0.8007929346959494,4.280562513483194,1.045535352970039,3.8387211617554047,0.6619209405694448,4.000418479181263,0.6570244627633095
mag__time__impulse_factor,0.06505058641021955,0.028335986974179148,66.38177215151045,2.5418926002488665e-42,4,4.448530083347277,0.999839181884065,4.931493179795701,1.2500303036606186,4.389381713398719,0.7999845853205055,4.587256027042026,0.7878948650667477
mag__time__clearance_factor,0.06993132275235103,0.02764309367831441,64.75855412373124,2.68301035118454e-41,4,4.838268669489037,1.1281401202683252,5.372421572188485,1.3842170991047331,4.766948160476023,0.8954728865722674,4.987859599708004,0.877096949478863
h__spectral__centroid,0.2927401382704793,0.06151050562249623,144.09861117163425,1.2880631000855836e-90,4,5326.741431165513,1373.5730596989351,5018.818877128485,1034.218383831335,4466.613946789042,1448.1807988818227,4472.79831334732,1629.703507913793
h__spectral__bandwidth,0.41073034710598466,0.3477533055931154,814.6700772361382,0.0,4,3863.475900455558,542.7116567108962,3514.543399627477,536.082118107296,3115.510914777648,503.7547437965921,2948.76015582339,655.7589243820727
h__spectral__rms_frequency,0.32467461665783404,0.10573336864131172,247.6980382703794,8.486036198688134e-153,4,6597.063223920767,1400.219989911877,6163.37119757759,954.151671887847,5544.405591670902,1125.8825484681033,5468.975049703124,1370.1738593303392
h__spectral__peak_frequency,0.5572201034603672,0.08652157600938076,202.69121206464266,4.343886067468961e-126,4,676.6209857507444,647.8356475880732,1021.4516832081545,219.7478107543636,1011.6112231182796,317.97694855359816,1206.7725026709402,1150.1805235956792
h__spectral__entropy,0.23430401575448268,0.1742113778165436,408.1191877649029,2.1036750526102642e-244,4,0.820635934776406,0.03220056258323637,0.7861971005155545,0.08504501870246256,0.7498435093105996,0.12401297487274411,0.7563507701332006,0.10235696632624655
v__spectral__centroid,0.21983962661498357,0.016828986815329346,39.42470644604492,2.946105187098894e-25,4,3514.7250628085417,1126.3535050420792,3214.6647368540457,820.6270617984494,3179.688121755092,1093.4836168734978,3266.9197137072747,1436.5483111194699
v__spectral__bandwidth,0.2055253724222179,0.06733421977813761,157.74163220025082,6.005664266156737e-99,4,3580.858770217831,824.599306622959,3431.6984515584318,643.5250269807237,3103.662342785554,581.6705707792175,3030.9485217134525,596.1247233310106
v__spectral__rms_frequency,0.21026157650002375,0.03001072717043821,70.30513018461299,8.585432435706248e-45,4,5032.307250873633,1341.7756023228228,4719.726658874715,960.3942592577525,4490.2003048830165,1056.0704450771113,4510.245588263456,1391.4502601900235
v__spectral__peak_frequency,0.5870705398241862,0.2498169862739346,585.2379265110709,0.0,4,465.0604131220757,503.7893953422897,963.7934214055794,289.4167254662348,921.6364247311828,292.00399762828636,940.7852564102565,395.59127726351113
v__spectral__entropy,0.28563253358007845,0.06503854190928658,152.36362417949238,1.1415678693303694e-95,4,0.7448722911171868,0.04221175497302639,0.7041997890017486,0.09102248437535553,0.6959395964362175,0.1388703789982195,0.7125180356027879,0.1476523901514825
mag__spectral__centroid,0.26907745190317356,0.030975851132178583,72.56609391898381,3.243895189262726e-46,4,4919.768217990602,1262.7993237761768,4469.489633653341,952.2706877971901,4471.32000293463,1271.3002132137426,4413.994283519977,1361.105111723805
mag__spectral__bandwidth,0.13601079428757235,0.014589601023868262,34.17857199858199,6.367421999500055e-22,4,3869.7741751351923,288.8746401036023,3925.306504512361,342.3155754188125,3818.522399805239,404.3339618268756,3756.5910034835424,458.6578217769827
mag__spectral__rms_frequency,0.23819627724633108,0.025771326161281295,60.373626753828376,1.5709890485825114e-38,4,6293.411786816325,1118.190617327651,5968.606127634128,885.4993217852401,5918.604652923669,1150.4890410829296,5830.48719636139,1289.8506417815615
mag__spectral__peak_frequency,0.33622747375145945,0.004049922555573528,9.487618573523582,2.982774730404713e-06,4,138.95018077413866,260.7924394157393,113.0054653969957,182.12115605901124,163.1686827956989,323.1152790063962,183.61378205128204,355.9748368522896
mag__spectral__entropy,0.29444204840669697,0.09145230648442361,214.2422699908465,5.481937963885787e-133,4,0.9039653966060567,0.060545912331847924,0.8668662203598837,0.08245813680666352,0.8492437394526476,0.10620736857248539,0.8542573921411363,0.09994375765278178
