feature_name,feature_set_config,dataset_name,condition_name,target_name,score,p_value,correlation,selected,feature_group,interpretation,selection_split,selection_scope,feature_grain,train_bearings,held_out_bearing,overlaps_manual_19
horizontal__ratio_beyond_r_sigma__r_0.5,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.1573529451367714,0.0007668186690918201,0.1573529451367714,False,time_domain,horizontal channel ratio beyond r sigma  r 0.5 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""abs""__coeff_45",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.15635199613504788,0.000829280679660527,-0.15635199613504788,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 45 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""abs""__coeff_65",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.15621235623684918,0.0008383592533996953,0.15621235623684918,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 65 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""abs""__coeff_62",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.15547169993199947,0.0008880675749819683,0.15547169993199947,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 62 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""abs""__coeff_8",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.1547906019588141,0.0009361682398880846,0.1547906019588141,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 8 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""abs""__coeff_2",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.15474110246188502,0.0009397561180047848,0.15474110246188502,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 2 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""abs""__coeff_39",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.15338619214552107,0.0010430339745736202,-0.15338619214552107,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 39 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""abs""__coeff_48",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.15287955867883016,0.0010842698365997033,-0.15287955867883016,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 48 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.15254848107303248,0.0011120232717337383,0.15254848107303248,False,time_domain,"horizontal channel agg linear trend  attr ""stderr""  chunk len 10  f agg ""mean"" statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
"vertical__fft_coefficient__attr_""abs""__coeff_56",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.15207857428140473,0.0011525394945184606,0.15207857428140473,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 56 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__large_standard_deviation__r_0.2,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.15186471384179542,0.0011714254911395555,-0.15186471384179542,False,distribution,vertical channel large standard deviation  r 0.2 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
vertical__quantile__q_0.6,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.15089672046177516,0.0012605262529244146,-0.15089672046177516,False,time_domain,vertical channel quantile  q 0.6 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""abs""__coeff_47",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.15009618730808827,0.0013388794281054845,-0.15009618730808827,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 47 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""abs""__coeff_10",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.14908048515470382,0.001444735374371097,0.14908048515470382,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 10 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__lempel_ziv_complexity__bins_100,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.14898078165640832,0.0014555304408907835,-0.14898078165640832,False,time_domain,vertical channel lempel ziv complexity  bins 100 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__ar_coefficient__coeff_3__k_10,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.1485334292220111,0.0015048840551799762,-0.1485334292220111,False,time_domain,horizontal channel ar coefficient  coeff 3  k 10 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__quantile__q_0.8,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.14832200442119614,0.0015287398883499076,0.14832200442119614,False,time_domain,horizontal channel quantile  q 0.8 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__energy_ratio_by_chunks__num_segments_10__segment_focus_8,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.14724881611566695,0.0016552735113202135,-0.14724881611566695,False,energy,vertical channel energy ratio by chunks  num segments 10  segment focus 8 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__variance_larger_than_standard_deviation,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.14713342794534853,0.0016694352522614775,0.14713342794534853,False,distribution,horizontal channel variance larger than standard deviation statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
vertical__c3__lag_3,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.14639289118200652,0.0017629985880716834,-0.14639289118200652,False,time_domain,vertical channel c3  lag 3 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
