feature,healthy_mean,fault_mean,mean_shift,cohens_d,auc,auc_raw,auc_abs,healthy_std,fault_std
v__time__kurtosis,0.0973636308292822,0.16107004145404757,0.06370641062476537,0.06596588947223504,0.5634311995293866,0.43656880047061347,0.5634311995293866,0.1310729085147842,1.359469529437348
v__time__crest_factor,4.701890538102529,4.655404780136986,-0.04648575796554333,-0.04771090119695992,0.5682015081020375,0.4317984918979625,0.5682015081020375,0.6682640662282524,1.205001245659076
v__time__impulse_factor,5.913317874853978,5.880188467300048,-0.0331294075539299,-0.023785476737975375,0.5594844644098614,0.44051553559013856,0.5594844644098614,0.8582803666538932,1.7729556342846915
v__time__clearance_factor,6.990796347533785,6.968990375506349,-0.02180597202743595,-0.012490701590620747,0.5547248515963421,0.44527514840365795,0.5547248515963421,1.0238230256587628,2.2466100848970365
mag__time__mean,0.7478505287936478,2.8443331867175243,2.0964826579238767,1.4724339946130383,0.9315792288357667,0.9315792288357667,0.9315792288357667,0.15077933876602703,2.007933988898264
mag__time__std,0.4137191887341141,1.6593197542977505,1.2456005655636364,1.5506690317174023,0.9295470346007808,0.9295470346007808,0.9295470346007808,0.08790200434113889,1.132584452931466
mag__time__rms,0.8547918299662955,3.295649552116958,2.440857722150662,1.4955952640802923,0.9307449596235093,0.9307449596235093,0.9307449596235093,0.1738852475989084,2.301480784297725
mag__time__mean_abs,0.7478505287936478,2.8443331867175243,2.0964826579238767,1.4724339946130383,0.9315792288357667,0.9315792288357667,0.9315792288357667,0.15077933876602703,2.007933988898264
mag__time__ptp,3.9350371950267675,14.601849185980093,10.666811990953326,1.570337978655809,0.895662869672175,0.895662869672175,0.895662869672175,1.8230515084382595,9.4317355422194
mag__time__skewness,0.9322900650265932,1.001022978385583,0.0687329133589899,0.187539812537196,0.6289427242098506,0.6289427242098506,0.6289427242098506,0.31679766296939227,0.4102199356074015
mag__time__kurtosis,1.86932722030802,1.7785181361203684,-0.09080908418765166,-0.02267055069702781,0.5998181720947645,0.5998181720947645,0.5998181720947645,2.337392209729112,5.160058943610364
mag__time__crest_factor,4.489973561213171,4.584861062202838,0.09488750098966658,0.07060096894475042,0.6157334616824429,0.6157334616824429,0.6157334616824429,1.4995917848579148,1.167853223948189
mag__time__impulse_factor,5.142636869707511,5.33097098425803,0.18833411455051952,0.11309720266506505,0.6282581956254345,0.6282581956254345,0.6282581956254345,1.7694201731286678,1.5540940611841787
mag__time__clearance_factor,5.5824798924929295,5.838138726010968,0.2556588335180381,0.1368733504121531,0.6337665115781592,0.6337665115781592,0.6337665115781592,1.938957439709779,1.7939254002457434
h__spectral__centroid,4928.297513490881,3970.3952186260603,-957.9022948648208,-0.8299965924681734,0.7118241617198781,0.28817583828012194,0.7118241617198781,1166.8174985770909,1141.2486566147277
h__spectral__bandwidth,3441.5757300347095,3802.134602328758,360.55887229404834,0.8205396039496099,0.8227177923953152,0.8227177923953152,0.8227177923953152,310.5932761543754,538.2434704326075
h__spectral__rms_frequency,6049.359741619148,5536.133454697894,-513.2262869212536,-0.4939226036034744,0.6208567303064335,0.3791432696935665,0.6208567303064335,997.8666552700685,1078.7245374873762
h__spectral__peak_frequency,1128.7822878228783,908.3944746376811,-220.38781318519716,-0.30592541507719617,0.6032996416920691,0.3967003583079309,0.6032996416920691,936.9607321644735,400.06105162418504
h__spectral__entropy,0.8322991517712384,0.714367050165557,-0.11793210160568135,-1.5592302857948377,0.8487726616396598,0.15122733836034014,0.8487726616396598,0.04190344149325297,0.09841419362305265
v__spectral__centroid,3637.460224292804,2327.8743915376167,-1309.5858327551873,-1.170514822826333,0.8005240921974437,0.1994759078025563,0.8005240921974437,1269.8570110220257,943.897770039396
v__spectral__bandwidth,3653.9431325439914,3158.7864054912784,-495.156727052713,-0.7486643707357061,0.6755334509866838,0.3244665490133162,0.6755334509866838,626.7083896095577,694.3353467903609
v__spectral__rms_frequency,5179.558012414018,3941.6158487109933,-1237.9421637030246,-1.0118662249917318,0.7528210064709343,0.24717899352906572,0.7528210064709343,1326.6108431880868,1110.6933931429026
v__spectral__peak_frequency,568.1128920664206,722.2327898550725,154.11989778865188,0.41280219710796984,0.614567623937109,0.614567623937109,0.614567623937109,434.7951803064716,299.5568571661786
v__spectral__entropy,0.774670508669228,0.5935578484087993,-0.18111266026042872,-2.3423396985293037,0.9023584148884967,0.09764158511150328,0.9023584148884967,0.03264105737604925,0.10436338592250359
mag__spectral__centroid,4954.9064655313505,3532.9339961498754,-1421.972469381475,-1.552086726376807,0.859799989304241,0.1402000106957591,0.859799989304241,875.9880324326339,954.6586984770519
mag__spectral__bandwidth,3892.7348225494707,3791.883568492188,-100.85125405728286,-0.3047360660571928,0.5065083694315203,0.49349163056847967,0.5065083694315203,170.0865861809375,436.02909942218344
mag__spectral__rms_frequency,6317.379415644092,5206.665512843391,-1110.7139028007005,-1.3073481327032193,0.8193165409914969,0.1806834590085031,0.8193165409914969,769.080151488668,923.1102109936041
mag__spectral__peak_frequency,129.20606549815497,176.74592391304347,47.5398584148885,0.17541369957851838,0.7784266538317556,0.7784266538317556,0.7784266538317556,279.2622881914764,262.51008213218023
mag__spectral__entropy,0.9289091368798224,0.7832505685402161,-0.14565856833960622,-2.116687061894566,0.9184234451040163,0.08157655489598374,0.9184234451040163,0.014615043103017018,0.09621458400346387
